"","trim.321ra.gtf","trim.331ra.gtf","trim.336r.gtf","trim.370r.gtf","trim.380r.gtf","trim.410r.gtf","trim.414r.gtf","trim.419r.gtf","trim.468r.gtf","trim.512r.gtf","trim.549r.gtf","trim.568r.gtf","trim.571r.gtf","trim.581r.gtf","trim.586r.gtf","gene"
"Ahyacinthus16075",10.0927682922657,9.64906315952143,8.06143976458201,10.1078987249743,9.13025802109544,9.51293939791107,12.1315407284867,9.60452717293816,8.27140912151729,9.20194850193205,10.3328170951104,9.56366813844408,9.37214429964574,10.2472295039353,7.45031189637731,"Ahyacinthus16075"
"Ahyacinthus16073",9.57159561278989,9.2881409454635,8.05685396016358,10.2771363813742,8.78970704113446,9.40210495781459,11.6397091191043,9.91844280922765,8.38945922681567,8.44061374275551,9.71786869037762,9.15383716828491,9.60983344999156,11.2054686376258,8.09437324025734,"Ahyacinthus16073"
"Ahyacinthus04959",8.12887935034401,8.39233791945594,8.48512631938845,7.52366258722239,8.8458302588624,7.59322267547227,8.11848752864037,9.14792307103824,7.76629740969401,8.63023637291753,7.92651893963077,7.9906516332616,9.06156352484366,7.31936901726588,8.46426909015798,"Ahyacinthus04959"
"Ahyacinthus04956",10.4035607659155,10.2556052097106,10.320615382261,11.0778518165114,10.2954415557868,10.7037804924579,11.4503881446408,10.4251213426897,9.96309291949356,10.4701726008843,10.9318169063687,10.8761773896826,10.0990242202737,11.3585723086342,10.490408729303,"Ahyacinthus04956"
"Ahyacinthus03450",10.5398635294407,11.1410563244641,11.0178880283799,11.6752648128455,10.7173193548183,11.6177389700859,12.130838653529,10.420387594121,11.378634959797,11.0510434677464,11.4008311519486,11.858049764928,10.6525076348645,12.738267319591,10.5350821694828,"Ahyacinthus03450"
"Ahyacinthus15180",9.43462380497152,8.46393078822187,8.6142360559737,10.6734013248847,8.68477775110597,9.9834442825584,11.111204212586,8.62461631691653,8.92787926661875,8.59489728998688,9.27322937701255,9.2896960487821,8.65848669992225,10.2472295039353,8.21805283680886,"Ahyacinthus15180"
"Ahyacinthus15187",8.11078728330034,8.02365869413217,7.79394436759588,7.39887446921071,8.88909384836863,8.10051512430154,7.99434528214459,8.42169127911162,8.12151202947805,8.15907406466145,8.06719784377711,7.45562557457814,9.99776205620687,7.26600897861278,8.96918839562289,"Ahyacinthus15187"
"Ahyacinthus17855",9.38504775572761,10.09716287357,9.04505044480173,11.7001670695499,9.33987326334072,10.5095156567489,10.342267587845,9.92096926621749,8.17821235550776,9.48919548815665,10.1624890472312,11.3877342854263,8.4647192108686,10.9843649452197,10.1773475123356,"Ahyacinthus17855"
"Ahyacinthus17857",9.85438800480349,9.57270501064962,9.30486492891177,9.29402816097524,9.30419153588587,10.6009562644426,11.1045365659574,9.72162711159506,9.59981070798511,9.68626546585153,10.9095936778933,9.76539387813081,9.46447809699832,10.2090995258376,10.0905749248903,"Ahyacinthus17857"
"Ahyacinthus06610",11.7743045905004,11.666594548891,11.9463754420115,13.0072927935641,11.5636619217729,12.3078790652157,12.4291847154233,11.2518955211719,11.1128380200271,11.91460817999,10.7721381568366,12.5094340490812,10.5313929952631,13.2352888603649,10.8175362833455,"Ahyacinthus06610"
