gene,trim.211r.gtf,trim.218r.gtf,trim.227r.gtf,trim.235r.gtf,trim.236r.gtf,trim.244r.gtf,trim.253r.gtf,trim.61r.gtf,trim.71r.gtf,trim.76r.gtf,trim.82r.gtf,trim.86r.gtf
Peve_00001193,7.87922705,7.615128669,8.715470579,8.078377795,8.138651869,6.391015158,7.86196611,7.573898503,8.420413279,8.025007041,6.391015158,7.743488744
Peve_00001192,7.18322816,7.322886859,7.578642088,8.29921881,7.179394239,7.989369634,7.228760868,7.282512431,6.391015158,7.49587731,7.640502712,7.963434287
Peve_00028312,9.453462584,7.687810382,8.244824313,9.432123158,8.371065441,6.391015158,8.05641295,8.185659787,8.760667745,9.0226695,7.974323817,8.893979222
Peve_00028313,13.6061488,14.22729247,13.73546941,14.38276974,14.18951726,13.7532559,14.10603434,13.75699448,14.31378491,13.62880122,13.93613671,14.18013878
Peve_00001198,6.950301112,6.8188756,7.514283018,6.391015158,6.391015158,6.391015158,6.391015158,6.391015158,7.365717091,7.600794699,6.391015158,7.085561311
Peve_00028314,9.456844249,8.771753443,9.432706426,9.714681094,9.474686611,9.535427528,9.132154702,9.570840437,6.391015158,8.884199043,10.18808705,9.088225779
Peve_00028315,9.468616268,9.513255696,9.462489757,10.24635256,9.564224491,10.14357452,9.447284761,9.616939998,8.968726717,9.049514849,9.675830974,9.767902656
Peve_00043646,9.94541489,9.668059813,10.12794422,6.391015158,10.27480867,8.724571685,9.711121056,9.598680749,8.868694987,9.898795518,9.235375679,9.370599871
Peve_00035659,7.546368803,7.740992872,8.550024777,6.391015158,7.962188658,6.391015158,7.506355541,7.246271209,6.391015158,6.391015158,6.391015158,7.297674298
Peve_00035652,7.715279222,7.299456816,7.365102281,8.796208877,7.845961386,8.327748771,7.637221549,7.85688109,6.391015158,7.782470743,8.628120345,7.572372328
Peve_00035657,7.872089298,8.236363366,7.261897902,8.271966241,7.734899129,7.898028475,8.789987054,8.137844681,6.391015158,7.294405881,8.445431433,8.122450563
Peve_00011533,6.391015158,7.656147917,7.457071942,6.391015158,7.205157916,6.391015158,7.519307709,6.391015158,6.391015158,8.174828743,6.391015158,7.158808567
Peve_00009348,7.257831666,6.844623863,7.103135608,6.391015158,8.883646418,7.492636873,8.824523065,6.391015158,6.391015158,7.853103626,6.391015158,7.502007502
Peve_00004118,8.396137446,8.065939176,8.24938882,6.391015158,8.37378154,8.22723045,8.627426336,7.693744282,6.391015158,8.836197406,6.391015158,8.355407477
Peve_00004115,7.481490672,7.770219996,7.749967932,7.698838426,6.391015158,8.827259391,7.19637535,6.391015158,8.514132039,6.907674928,6.391015158,7.750631768
Peve_00004113,7.164880667,7.536714017,8.413554564,8.201095119,7.492897944,7.275809367,7.745308352,6.391015158,6.391015158,7.294405881,6.914335293,7.002872538
Peve_00023328,8.532134935,8.713151212,8.572321678,6.391015158,8.574320909,7.997324249,8.665174956,8.592598382,6.391015158,8.577216663,8.172811764,8.81557647
Peve_00029045,7.276729281,7.262975588,7.231541876,6.391015158,7.767168672,6.391015158,7.228760868,7.07079289,8.247038199,7.047476908,6.391015158,7.812860857
Peve_00029044,8.076115023,7.973634711,7.918629358,8.125871371,6.391015158,6.391015158,8.974642121,8.387995071,6.391015158,8.991330484,6.391015158,8.316570939
Peve_00029047,7.927959891,8.32920392,7.915616196,6.391015158,7.734899129,6.391015158,7.770672016,7.589063614,7.591013023,7.695614684,6.391015158,7.771777661
Peve_00029046,8.580369337,9.209130885,7.877255844,7.97725721,8.251352367,6.391015158,9.235358493,7.767924112,6.391015158,8.710559104,8.628120345,8.015127302
Peve_00029041,7.579118252,6.391015158,7.440390124,6.391015158,7.935207789,6.391015158,6.953816645,6.391015158,6.391015158,6.391015158,6.391015158,7.511093905
Peve_00029040,8.633074191,8.833996039,8.108307389,10.05456916,8.098635138,9.510540488,8.15173515,8.694882292,8.709713137,8.804737104,8.670072884,8.249043175
Peve_00029042,10.16535401,9.594539034,10.13426233,9.532745351,7.594739401,8.321697775,9.461452257,9.583281889,7.745518531,9.057089413,9.675830974,9.271316929
Peve_00029049,9.773134122,9.630923356,8.969890987,8.670909295,9.979940252,9.008218082,10.35042993,8.943898044,10.20686521,7.990896392,10.13146534,7.707029265
Peve_00005446,7.652129714,7.400059424,7.637061967,6.391015158,6.391015158,7.853938465,7.402910166,7.792916076,8.088431878,7.803122958,6.391015158,7.707029265
Peve_00005444,7.284691284,7.563560825,7.206350165,6.391015158,7.850176616,7.354362326,6.713229585,7.125619248,6.391015158,6.391015158,6.391015158,7.511093905
Peve_00005449,8.434431176,8.260230364,8.057362619,6.391015158,7.254150954,9.281950619,8.062236064,7.184437236,6.391015158,6.391015158,6.391015158,7.415910366
Peve_00005448,6.913996011,7.012202173,7.18687689,8.141294014,7.516489513,6.391015158,8.171341464,7.738008886,6.391015158,6.391015158,6.391015158,7.998150983
Peve_00023320,6.715261979,7.063888531,6.907633275,7.278976572,6.912704898,6.391015158,7.205773634,6.906892824,6.391015158,7.221083215,6.391015158,6.884480888
Peve_00016078,9.448374741,9.378697153,10.11231644,9.854532996,9.635612639,9.474940897,9.852269809,9.844518512,9.120707349,11.02271828,10.98641653,9.537886534
Peve_00005999,7.544407287,7.656147917,6.391015158,6.391015158,6.391015158,6.391015158,7.152500811,7.895056601,6.391015158,6.391015158,6.391015158,7.274229296
Peve_00029597,7.249590054,7.420892857,7.291114124,6.391015158,7.315003758,6.391015158,7.152500811,7.553303468,6.391015158,7.221083215,6.391015158,7.274229296
Peve_00029596,8.595531429,8.419834189,9.125033342,8.486793615,7.691901872,8.941730058,8.449034936,8.795340696,9.681552977,9.090667371,9.862038773,8.735499269
Peve_00029595,9.321293927,8.878861058,8.65956059,9.2920358,8.944859486,9.026126947,9.27120015,9.202555702,9.158550652,9.969496446,6.391015158,9.171324496
Peve_00005991,7.284691284,7.096106162,6.971327043,6.391015158,7.238169491,6.391015158,6.391015158,6.880677493,6.391015158,6.938654823,6.391015158,6.391015158
Peve_00005990,8.006941529,8.535300482,8.335208609,6.391015158,7.567514944,9.105623716,7.933407516,8.601079481,8.615552958,7.423779131,8.289074001,8.417600665
Peve_00005993,7.447265878,7.527594988,7.487263304,6.391015158,7.767168672,6.391015158,7.792996787,7.829354725,6.391015158,7.684233667,6.391015158,7.605721806
Peve_00005992,8.117384054,8.878861058,8.386271242,6.391015158,9.75762951,6.391015158,8.969864464,8.735594695,6.391015158,8.12950775,8.584788812,8.384809811
Peve_00005994,8.780352542,8.778109111,8.761483682,8.952425749,9.438195225,8.321697775,9.145694884,8.852541862,7.716415061,8.582602675,6.391015158,9.18963639
Peve_00005997,8.187187495,8.212026117,8.033090019,8.619386367,6.391015158,8.27850293,7.706084627,8.088057277,6.391015158,7.882040634,6.391015158,8.096514352
Peve_00005996,9.583911119,9.775495132,9.463410367,9.797556414,9.001750452,6.391015158,9.646118667,9.476076889,9.358122439,9.88840202,9.695593601,9.521848081
Peve_00033719,7.198168613,6.391015158,7.044886452,6.391015158,7.230051528,6.391015158,7.768162605,6.391015158,6.391015158,7.684233667,6.391015158,7.63001626
Peve_00033712,7.968127976,7.420892857,8.568779629,7.675899664,7.474802652,6.391015158,6.391015158,7.413221873,6.391015158,7.649313717,6.391015158,7.309144317
Peve_00033713,8.076115023,7.930818852,8.704315178,6.391015158,8.335215402,8.081432732,7.679091544,8.284175562,6.391015158,7.684233667,6.391015158,8.10174671
Peve_00033710,6.790836363,6.391015158,6.753552751,6.391015158,7.17059806,6.391015158,7.061079437,7.516162845,6.391015158,7.49587731,6.391015158,6.391015158
Peve_00033716,7.814777683,7.420892857,7.338465334,7.941495952,6.391015158,6.391015158,7.608311183,7.116791843,8.573045968,7.771994364,6.391015158,7.896918743
Peve_00033717,6.941459798,7.141651926,6.677908055,7.603810533,6.391015158,6.391015158,6.800023134,7.09877904,6.391015158,6.650378303,6.391015158,7.085561311
Peve_00040690,8.735427962,8.878861058,8.640387269,7.97725721,8.445009613,8.746623914,8.47150328,8.472361529,8.760667745,8.366725179,6.391015158,8.253660791
Peve_00040693,7.726805837,7.805667845,7.50311973,6.391015158,8.081558694,8.220669318,8.213055093,7.872308408,8.529112149,7.240077652,7.12715392,7.699582421
Peve_00040692,7.969442975,9.095955221,7.786188143,6.391015158,8.174203871,7.8806008,8.424723944,7.707221695,7.623852452,8.522099253,6.391015158,8.167773435
Peve_00040694,9.025860876,8.790730803,9.392629227,9.157591196,9.39946157,8.369311852,9.152415497,8.763932807,6.391015158,9.207228475,6.391015158,8.865468837
Peve_00040697,10.05796841,10.26453464,9.118563131,10.23324093,10.01478849,9.482645743,10.34503754,9.663531626,10.83589768,10.66291196,11.11562741,10.51359342
Peve_00040696,8.43083314,8.658803534,8.499585948,9.426315613,8.840611892,8.44856978,8.583465673,8.658965128,10.34627788,8.951117757,9.235375679,8.503678053
Peve_00040699,7.542441745,7.631737645,7.285356585,6.391015158,8.55088683,6.391015158,8.27796257,6.391015158,8.301606393,7.311718152,7.640502712,7.34261806
Peve_00025241,12.00016709,12.71753416,12.93237749,13.17562077,13.48679222,12.73730066,12.32358435,12.34758751,12.27686498,12.57260569,11.96413364,12.13424232
Peve_00031620,7.110112943,7.23767342,7.435566476,6.391015158,7.4686909,6.391015158,7.346254406,7.460415815,6.391015158,8.196871163,9.061370398,7.890673525
Peve_00031623,6.996513262,6.391015158,7.682966492,6.391015158,7.687012867,8.895529842,6.939737645,6.391015158,6.391015158,7.982210007,6.391015158,7.637985096
Peve_00031624,8.841086665,8.342554878,9.937290211,7.411215704,9.224199923,9.20911238,9.184718462,8.778804654,8.265494744,8.159909191,6.391015158,8.622955731
Peve_00031625,7.38636815,7.156181572,7.86469776,6.391015158,6.391015158,6.391015158,7.281255124,6.838367942,6.391015158,6.391015158,6.391015158,7.002872538
Peve_00031629,9.172159119,8.833996039,9.758326082,6.391015158,9.168497906,9.362372815,8.55766769,9.273879837,6.391015158,9.482904127,6.391015158,8.713095098
Peve_00025246,11.14162134,11.17484287,11.33913968,10.77054212,11.53848487,11.60583243,11.67234765,11.14148072,11.48728602,11.75800436,10.95424907,11.0823374
Peve_00013006,8.413603042,8.523822313,8.528255266,9.143400048,8.439867346,7.923674398,8.523349799,7.772130016,7.686478755,8.174828743,6.391015158,8.629847481
Peve_00034295,7.369860198,7.490210291,7.324820927,6.391015158,7.000082582,6.391015158,7.318452364,7.767924112,6.391015158,7.240077652,6.391015158,7.52009319
Peve_00040528,7.34815389,7.184371172,7.349221742,6.391015158,7.307645605,6.391015158,7.640067269,7.089584366,6.391015158,7.575615601,6.391015158,6.927000094
Peve_00040527,8.653731453,8.311179401,8.982969914,6.391015158,7.845961386,7.844906717,8.742133816,8.914124302,6.391015158,8.598629243,9.179773538,8.359649801
