gene,trim.321ra.gtf,trim.331ra.gtf,trim.336r.gtf,trim.370r.gtf,trim.380r.gtf,trim.410r.gtf,trim.414r.gtf,trim.419r.gtf,trim.468r.gtf,trim.512r.gtf,trim.549r.gtf,trim.568r.gtf,trim.571r.gtf,trim.581r.gtf,trim.586r.gtf
Ahyacinthus12972,12.45399595,12.11929841,11.72956677,10.03624453,11.17996225,11.14850163,11.90746268,11.97835056,10.83582921,11.57411236,11.53866674,9.459979788,10.40435393,8.352318168,11.22437918
Ahyacinthus12973,8.937943963,8.268510097,8.289633854,8.141481252,8.000609772,7.991508902,9.127019354,8.728319048,7.623170375,8.217395371,8.239276998,6.47174412,8.352638888,8.991074225,7.611470828
Ahyacinthus12974,9.11767801,9.111987934,8.842001366,8.688480872,8.768909857,9.453576403,9.192807747,8.839230857,8.743442672,8.950995964,8.625987906,9.018902976,8.947605899,6.47174412,9.000346327
Ahyacinthus12975,7.636836427,7.678062432,7.520499846,6.47174412,7.857876114,7.426114596,7.131933825,7.858967283,8.22792397,7.591215473,7.167313758,6.47174412,8.047778828,6.47174412,6.47174412
Ahyacinthus12976,7.350305702,7.793049582,7.238019484,8.646078123,7.339345255,7.307272776,6.47174412,7.295273442,7.697303925,8.036336069,7.406273584,7.788455222,7.72552187,6.47174412,7.697820829
Ahyacinthus12977,7.337080785,7.418110163,6.47174412,6.47174412,6.47174412,6.47174412,7.325573964,7.488861675,7.243687112,7.354017496,7.138227761,6.47174412,7.102267782,6.47174412,7.356872286
Ahyacinthus01166,7.021726793,6.97369157,6.47174412,6.47174412,6.47174412,6.47174412,6.922344555,7.006492642,6.47174412,6.957687267,7.272405769,6.47174412,6.47174412,6.47174412,7.237993838
Ahyacinthus01165,8.913908724,8.99430614,9.508493631,9.163518426,9.831966681,9.532180562,8.555527637,8.820755066,9.885167724,9.706965827,9.796130125,8.90727521,10.10227861,9.164022386,9.535797182
Ahyacinthus01164,7.801882474,7.887588595,8.384201997,6.47174412,7.987569981,6.47174412,7.406155417,8.215983441,7.718500263,8.122659611,8.563858438,8.032500705,8.135105547,6.47174412,7.926158038
Ahyacinthus01163,8.125883256,8.415692474,9.193494181,10.20438654,8.300139441,7.927322349,9.155600735,7.535281981,8.051706854,8.270305424,9.383480116,8.502239066,8.328966357,10.61072015,8.067999485
Ahyacinthus01162,11.84772921,11.70243586,10.90534078,10.38387192,10.62817496,11.57415472,12.70105942,11.72606619,11.74774445,10.92426192,12.0671944,10.03780379,11.96377647,11.85894141,11.80102887
Ahyacinthus01161,8.986302776,8.335059371,8.153796612,6.47174412,8.154134246,8.347433811,8.739746569,7.99319618,8.609951039,8.4780813,8.192594985,8.449967586,8.286416801,6.47174412,8.04101109
Ahyacinthus01160,10.68603536,11.35930687,10.18629876,13.89235634,9.412968359,11.58933321,11.07170365,9.971388567,11.73286744,11.65346918,11.19861608,11.45209328,9.147619923,12.41287719,10.31654546
Ahyacinthus01169,7.958337979,8.371539886,7.861728808,6.47174412,8.000609772,7.050966582,7.75457402,8.0003988,7.718500263,8.622007162,7.296406401,6.47174412,8.229445625,6.47174412,7.675017142
Ahyacinthus01168,8.726831405,8.211851347,7.594694322,6.47174412,8.320111381,8.591954812,9.02512259,8.451669815,7.206210642,8.784838757,8.32759176,6.47174412,8.169659694,8.883162827,6.47174412
Ahyacinthus17476,8.591794348,8.86953579,9.499369065,7.633149875,8.89546487,8.414951836,8.097272394,8.746148251,8.404897859,8.521189345,9.064110449,7.917247086,8.38732487,6.47174412,7.73470737
Ahyacinthus17477,7.975560962,7.793049582,7.805547904,6.47174412,7.698881996,7.916254697,7.800322551,7.23209326,7.231418733,7.784086081,7.707815738,6.47174412,6.850471752,6.47174412,8.236706923
Ahyacinthus17474,10.35873515,9.16723862,9.119274907,10.80190829,9.592733906,10.32349132,10.53142073,9.932700277,9.096933592,10.07932398,9.918530594,10.21622465,9.194918918,10.05088945,8.929205283
Ahyacinthus17475,10.14191514,11.01030237,10.61119259,9.796652681,9.645416947,9.153982794,8.892283401,9.661263776,9.417684574,10.15621977,9.503435677,9.101449267,9.279091538,6.47174412,10.25704732
Ahyacinthus17472,10.5695191,11.19634589,11.3575219,10.93393524,11.29698125,11.64486915,10.20334188,10.72371211,11.35614874,11.90638326,10.93376138,11.16361737,10.88294672,9.944442704,11.50473362
Ahyacinthus17473,8.717499286,8.939192975,8.880830354,6.47174412,8.099899883,7.859170222,9.181750869,9.008008448,8.292584237,8.364696013,8.206790341,7.969132293,8.506913165,6.47174412,8.520802471
Ahyacinthus17470,8.140788236,7.332701605,7.117728607,6.47174412,7.143223678,7.734905442,7.28688608,7.523901062,8.196528054,7.173231591,7.296406401,6.47174412,7.356617363,6.47174412,6.47174412
Ahyacinthus17471,10.85338012,10.81254817,11.7895187,12.00598794,11.79819999,11.21659558,10.17805457,10.54082716,11.91397263,11.4362197,11.36336636,12.15713989,11.32955176,11.1107975,11.06303194
Ahyacinthus17478,9.336019914,10.29592851,10.44102817,10.24122493,9.95584344,9.83734847,9.273025296,9.818035329,9.710763586,10.21684019,10.07907231,9.059270969,9.350151842,6.47174412,9.613757788
