"","trim.16r.gtf","trim.211r.gtf","trim.218r.gtf","trim.225r.gtf","trim.227r.gtf","trim.235r.gtf","trim.236r.gtf","trim.244r.gtf","trim.253r.gtf","trim.34r.gtf","trim.43r.gtf","trim.61r.gtf","trim.71r.gtf","trim.76r.gtf","trim.82r.gtf","trim.86r.gtf"
"Peve_00030084",0,816,56,0,438,0,84,0,148,0,0,41,0,25,0,60
"Peve_00030088",0,582,62,0,877,0,89,0,157,0,0,166,0,95,0,84
"Peve_00015501",0,7734,1178,0,2178,982,1787,679,1024,0,0,773,177,350,65,920
"Peve_00018590",0,309,57,0,353,40,106,26,322,0,0,101,39,71,1,112
"Peve_00012223",0,931,273,0,927,72,654,0,528,0,0,693,0,200,27,131
"Peve_00012220",0,383,79,0,344,0,176,0,586,0,0,144,0,0,17,138
"Peve_00012227",0,7787,1445,0,9864,495,2670,712,4891,0,0,2300,357,921,52,1112
"Peve_00012226",0,1047,265,0,1772,0,773,0,1256,0,0,306,258,156,20,397
"Peve_00012225",0,422,101,0,326,108,148,0,445,0,0,317,125,41,0,153
"Peve_00029225",0,147,0,0,143,0,12,0,195,0,0,55,0,32,21,83
"Peve_00029224",0,3414,943,0,1525,292,1497,622,2878,0,0,1153,97,325,21,976
"Peve_00022230",24,217,50,0,250,0,0,144,66,0,0,43,0,35,0,87
"Peve_00037197",0,2093,522,0,1222,87,837,0,1135,0,0,640,0,320,0,415
"Peve_00037191",11,1901,434,0,842,171,116,194,1508,0,1,585,112,72,61,531
"Peve_00037193",0,567,82,0,265,0,144,130,98,0,0,30,30,147,0,36
"Peve_00037198",0,1878,767,0,1670,357,1206,594,1892,0,0,1126,65,193,26,460
"Peve_00037199",34,2540,273,0,741,0,876,131,661,0,0,1859,51,46,0,795
"Peve_00025330",0,592,56,0,340,0,258,53,399,0,0,244,0,62,6,72
"Peve_00025337",0,256,92,0,326,45,252,20,43,0,0,59,22,59,0,30
"Peve_00018595",0,446,69,0,43,49,279,11,193,0,0,83,3,164,0,9
"Peve_00027528",0,379,57,0,635,96,184,0,602,0,0,367,32,17,0,234
"Peve_00037733",0,203,126,16,123,0,17,22,130,0,0,16,0,21,0,46
"Peve_00037444",0,412,78,0,59,0,324,105,0,0,0,166,0,56,0,80
"Peve_00033572",0,249,16,0,228,0,86,0,185,0,0,83,5,13,0,72
"Peve_00031206",313,532,58,26,128,25,0,93,448,0,0,196,85,79,73,6
"Peve_00033576",0,185,33,0,983,0,0,101,0,0,0,135,58,92,0,92
"Peve_00033577",0,248,84,0,137,0,0,151,71,0,0,24,0,37,29,61
"Peve_00033574",102,3262,1527,0,2477,542,848,456,2134,0,0,1260,310,571,196,846
"Peve_00027526",0,767,122,0,293,0,71,155,371,0,0,239,85,0,17,328
"Peve_00027869",0,1565,143,0,940,0,605,0,542,0,0,514,0,136,25,62
"Peve_00027868",0,230,53,0,295,41,113,70,131,0,0,155,0,72,0,104
"Peve_00029849",158,6146,972,0,8235,335,2399,890,3642,0,0,2794,206,965,91,1043
"Peve_00023549",0,477,97,0,503,0,252,51,257,0,0,183,0,33,6,106
"Peve_00023546",0,2066,731,0,6666,116,1402,594,1562,0,0,1202,171,282,49,901
"Peve_00023547",0,303,70,0,804,0,95,34,289,0,0,123,0,73,0,46
"Peve_00023545",0,1594,563,0,10317,0,765,358,1458,0,13,491,87,265,85,737
"Peve_00037699",0,1087,225,0,1031,0,466,223,794,0,0,663,21,171,12,301
"Peve_00023540",0,915,333,0,836,125,642,199,263,61,0,669,0,383,51,321
"Peve_00027865",0,1350,193,0,568,170,0,94,0,0,0,358,40,245,0,286
"Peve_00036718",199,788,120,0,739,0,243,113,484,0,0,117,0,74,0,106
"Peve_00036717",0,3726,587,0,2853,66,973,444,1915,0,0,1084,56,356,41,562
"Peve_00036716",40,387,38,0,402,154,90,20,335,0,0,200,98,89,27,72
"Peve_00036712",0,1451,281,0,735,0,225,343,884,0,0,340,0,225,0,384
"Peve_00032628",84,1205,215,0,1489,0,486,0,629,0,0,528,48,340,21,246
"Peve_00032627",0,207,27,0,116,35,137,0,107,0,0,63,0,20,0,31
"Peve_00032621",0,640,205,0,426,16,303,0,669,0,0,195,0,70,55,197
"Peve_00020163",0,179,53,0,197,0,0,16,51,0,0,63,0,12,0,55
"Peve_00038721",1994,4924,759,334,4901,362,2363,1784,3087,167,97,3354,228,1112,143,875
"Peve_00020164",0,447,139,0,630,96,0,223,314,0,0,471,37,101,40,104
"Peve_00018900",0,1576,378,0,1110,84,636,583,1047,32,0,375,0,133,7,326
"Peve_00018902",0,398,63,0,219,0,78,119,569,0,0,371,11,110,26,178
"Peve_00018904",0,440,48,0,270,98,134,0,353,0,0,47,0,61,19,46
"Peve_00018905",0,4900,1407,0,4202,184,1358,607,2971,34,0,1830,174,677,135,1139
"Peve_00018907",77,2512,678,0,1360,205,602,456,1461,0,0,831,210,558,56,643
"Peve_00024098",0,269,32,0,334,0,65,0,175,0,0,263,0,36,0,12
"Peve_00024097",363,16365,6340,194,27345,2489,19132,7345,16315,112,0,9677,2380,5763,573,4535
"Peve_00027670",0,678,73,0,506,81,296,0,250,64,0,129,44,88,0,112
"Peve_00027671",992,601,122,147,791,64,485,0,243,13,36,631,0,115,43,207
"Peve_00027672",0,308,23,0,316,0,37,0,94,0,0,159,0,43,0,87
"Peve_00027673",0,2239,840,0,1751,269,445,327,1173,0,0,827,143,266,30,559
"Peve_00027676",0,102,60,0,77,0,4825,0,5057,0,0,42,0,45,0,11
"Peve_00027677",0,1023,307,0,393,229,379,261,891,0,0,536,251,13,114,188
"Peve_00024329",0,2960,603,0,1868,20,1722,141,2910,0,0,486,110,3137,0,584
"Peve_00024328",32,1690,311,0,1764,218,670,131,758,0,0,425,143,323,13,267
"Peve_00024323",0,610,73,0,681,71,659,222,525,0,0,407,0,117,17,114
"Peve_00024327",132,8815,1607,0,5678,469,2596,1550,5040,0,0,3083,749,1531,180,1617
"Peve_00024326",0,375,92,0,129,0,84,129,314,0,0,229,36,76,9,87
"Peve_00024325",0,207,23,0,137,0,20,172,133,0,0,94,0,82,0,98
"Peve_00024324",49,604,320,0,409,48,123,201,543,0,0,255,60,168,17,159
"Peve_00021784",0,499,54,42,284,0,364,0,628,0,0,118,0,0,0,58
"Peve_00021782",0,218,31,0,200,19,195,0,212,0,0,72,0,37,0,60
"Peve_00021780",0,1588,318,0,751,155,598,376,885,0,0,328,0,379,18,423
"Peve_00026782",0,235,70,0,307,0,100,52,200,0,0,116,0,23,0,36
"Peve_00026786",0,805,169,0,617,59,117,0,460,0,0,226,76,229,0,143
"Peve_00026785",0,266,20,0,106,0,293,0,220,0,0,76,0,52,0,84
"Peve_00026784",0,1269,303,0,619,0,200,79,635,0,0,241,133,106,0,249
"Peve_00014958",360,576,69,0,442,0,186,470,169,0,0,104,0,134,27,132
"Peve_00014957",0,434,83,0,230,0,126,0,88,0,0,188,0,41,2,38
"Peve_00014954",47,2958,946,0,5414,998,21896,1564,523,0,0,3002,303,1616,139,1214
"Peve_00011700",0,742,110,0,463,66,503,104,285,0,0,340,90,0,0,174
"Peve_00014951",0,65,12,24,86,0,472,340,327,0,0,0,0,0,0,42
"Peve_00001959",0,947,116,0,603,64,178,142,414,0,0,145,42,98,0,226
"Peve_00001958",67,5426,1084,30,5885,257,3290,1165,4370,0,0,1524,191,697,48,1305
"Peve_00013633",69,697,141,0,509,0,175,0,505,0,0,251,20,143,0,93
"Peve_00013632",0,117,63,0,1926,8,895,0,269,0,0,0,69,89,0,71
"Peve_00001953",131,1128,298,0,619,0,199,92,422,0,0,486,53,210,0,178
"Peve_00013635",0,478,83,0,490,47,47,70,139,0,0,145,0,41,16,133
"Peve_00026251",0,366,70,0,381,0,665,206,563,0,0,65,151,52,30,184
"Peve_00026255",0,735,115,0,678,0,229,0,770,0,0,92,65,107,0,209
"Peve_00026257",30,473,78,0,483,96,47,0,251,0,0,103,0,36,11,103
"Peve_00026256",80,4585,865,0,6033,174,1931,917,4381,0,0,1792,0,672,95,931
"Peve_00034384",157,14405,2712,0,14866,1289,5889,2360,9456,0,0,5733,1065,1842,330,2758
"Peve_00020951",154,203,22,19,194,105,91,301,135,0,0,139,32,122,70,73
"Peve_00020957",186,894,159,0,434,0,300,160,562,0,30,231,0,189,18,297
"Peve_00034383",0,429,62,0,351,0,213,74,1133,0,0,55,0,40,0,61
"Peve_00016079",0,995,190,0,1446,0,345,157,368,0,0,236,155,428,33,234
"Peve_00040978",942,4999,861,148,11233,110,2024,684,3313,32,114,2011,223,928,14,846
"Peve_00040979",0,1103,208,0,1604,0,218,397,364,0,0,357,84,289,56,281
"Peve_00040970",0,559,133,0,482,68,41,0,211,0,0,236,70,59,20,72
"Peve_00040971",25,5831,404,0,5479,171,293,359,487,0,0,1042,0,162,0,321
"Peve_00040974",6027,32873,2087,549,56011,1166,19712,3018,10681,151,256,16331,488,4981,140,2071
"Peve_00040976",176,383,84,0,333,0,203,0,83,0,6,108,57,43,0,38
"Peve_00040977",0,752,132,0,1779,0,334,144,399,0,0,302,0,98,0,202
"Peve_00015774",52,2768,467,0,1695,107,455,295,1698,0,0,486,72,236,0,345
"Peve_00015771",111,558,45,0,815,0,894,64,1396,0,0,75,0,52,0,58
"Peve_00015773",0,3081,403,0,1670,66,373,289,1660,0,0,1018,139,380,0,546
"Peve_00005120",189,230,13,0,337,55,101,62,63,0,0,149,0,0,15,18
"Peve_00000338",6708,37813,2353,287,47427,1304,10651,3336,25392,110,74,12746,405,1322,177,4705
"Peve_00000339",0,2844,589,0,367,198,772,278,365,0,0,120,0,88,0,632
"Peve_00009811",22,0,0,0,1415,75,1160,643,776,0,0,15307,817,421,111,4219
"Peve_00009816",0,2380,481,0,3700,189,1032,334,1854,0,0,990,186,285,18,594
"Peve_00001654",0,805,316,0,1107,153,1013,0,901,0,0,894,0,482,10,284
"Peve_00041593",0,1590,378,0,1258,0,531,265,1263,0,0,554,26,142,8,295
"Peve_00041592",0,3958,1454,0,1461,144,325,489,609,0,0,161,104,113,91,693
"Peve_00002796",0,2822,364,0,1637,97,974,309,915,0,0,1189,87,504,27,538
"Peve_00001655",0,614,152,0,593,0,176,88,245,0,0,237,0,161,6,185
"Peve_00002792",0,282,49,0,284,0,110,0,175,0,0,114,0,34,14,81
"Peve_00002793",0,1140,306,0,608,35,334,0,619,0,0,451,131,66,0,272
"Peve_00002790",0,1230,157,0,1328,89,639,0,1093,0,0,780,82,288,61,427
"Peve_00002791",0,7098,3364,0,11283,904,5675,1584,5916,0,0,3705,1124,1916,267,2870
"Peve_00028293",0,1663,408,0,1408,0,379,313,1088,0,0,611,0,217,10,368
"Peve_00002798",0,3958,435,0,3935,346,2451,276,2206,0,0,1473,0,470,48,722
