"trim.321RA.gtf","trim.331RA.gtf","trim.336R.gtf","trim.370R.gtf","trim.380R.gtf","trim.410R.gtf","trim.414R.gtf","trim.419R.gtf","trim.468R.gtf","trim.512R.gtf","trim.549R.gtf","trim.568R.gtf","trim.571R.gtf","trim.581R.gtf","trim.586R.gtf"
2743,1780,1791,1251,1651,715,3526,1910,1039,1641,3129,1059,733,375,987
7734,192,2084,287,3616,1994,2880,9105,5427,3951,6883,2238,1513,72,1252
197,73,64,0,146,55,84,96,0,47,118,6,0,0,49
41,113,41,1,31,25,52,100,46,54,18,0,23,0,25
0,51,0,0,0,5,19,61,47,129,50,0,15,0,50
610,743,795,0,504,37,437,692,513,779,495,221,395,0,685
315,1288,418,0,543,93,429,1153,372,817,638,0,227,0,257
3319,2958,1936,2778,2878,1909,8998,2633,1871,4561,2559,4576,1306,4122,3584
596,2137,976,27,629,138,592,2409,1227,607,873,112,1141,0,820
85,49,0,0,83,43,68,149,98,70,34,0,108,0,0
984,605,448,192,423,247,891,821,558,1068,626,374,345,185,545
11624,7604,4650,1460,4871,3585,15495,8710,4831,5115,10297,2022,4785,2161,5831
60,11,43,0,0,0,82,42,0,51,29,0,15,0,0
86,42,0,82,0,64,309,34,0,0,41,8,50,0,0
175,82,116,12,44,93,386,142,66,137,142,146,113,0,0
1193,892,584,161,682,348,320,1811,490,1614,463,353,261,60,628
0,9,40,0,19,0,30,26,0,0,36,50,47,0,0
22,34,19,0,12,26,87,76,44,58,60,0,30,0,0
404,458,595,29,690,130,270,491,277,1389,320,506,375,0,360
5443,5487,4784,904,4210,2065,5683,7399,4361,6675,2947,3016,2762,1757,4497
2683,2819,3788,504,2947,2233,1877,2663,2572,3988,1642,2815,1859,340,3886
791,1083,1578,141,1146,219,722,1173,1135,1701,1020,467,667,0,1355
1017,688,494,95,743,128,268,834,695,1393,570,423,332,0,356
5261,3777,1842,1546,2314,4054,6708,3189,2049,2424,1255,4439,2137,6220,2432
12,30,20,0,0,0,60,94,0,34,0,87,0,0,17
96,921,322,314,417,87,473,388,526,145,375,172,176,0,287
0,256,0,6565,674,209,313,555,1203,346,207,400,418,299,690
2902,2647,4040,388,3793,1572,6162,2898,2243,2022,1556,1684,1285,263,1138
77,82,218,51,8,918,58,724,635,80,647,166,41,0,162
296,198,254,0,125,435,131,869,350,461,477,153,295,39,254
554,277,294,42,350,131,527,485,327,443,241,36,184,0,178
86,31,21,0,39,26,36,34,0,60,80,119,35,0,0
4484,4679,10606,4299,9062,4022,3508,5297,6975,14297,5641,5699,9431,2561,23319
500,625,317,42,497,183,104,920,621,322,424,63,323,48,546
6516,4497,2997,817,4949,2899,10313,5458,2119,6213,4023,1514,2506,899,2434
6405,4829,1772,1046,1980,2396,9590,4962,2351,3507,3978,2042,3612,1408,3518
138,173,92,0,113,93,184,167,73,267,71,128,25,0,47
478,309,160,0,182,131,590,329,301,275,556,77,365,95,137
40,40,32,16,18,31,145,74,0,100,90,0,18,13,183
343,188,359,0,0,266,681,120,0,534,319,150,0,0,0
129,77,37,0,25,80,167,65,0,61,21,0,51,0,0
270,257,139,74,216,155,685,321,208,422,186,42,143,57,219
18663,17230,10265,3763,16149,6208,15245,21786,14691,21103,9817,14270,5732,3364,10338
602,499,212,39,221,47,443,405,146,250,136,91,54,46,271
173,6,29,0,18,27,13,8,0,0,24,0,6,0,20
90,23,110,0,111,18,140,43,0,0,22,0,0,0,0
84,128,37,0,46,10,258,170,34,113,73,0,92,0,646
4735,5610,7082,801,7744,2125,3046,6051,7928,8664,3326,6380,5183,229,10297
252,125,190,76,361,89,44,197,0,215,110,64,133,0,131
1082,614,233,23,525,126,560,1061,192,298,203,5,282,76,370
396,137,67,0,44,0,155,277,98,99,105,0,132,0,195
269,191,101,11,236,42,240,362,74,138,165,92,236,0,0
264,517,35,68,126,181,715,537,153,188,174,156,60,72,70
246,422,68,0,89,71,389,94,251,135,120,0,66,0,127
333,318,212,33,255,16,97,150,51,286,244,102,142,0,176
313,118,71,0,24,57,217,238,34,169,56,0,201,0,172
2184,2075,1786,223,1175,792,1697,2027,2186,929,965,1970,1218,372,2861
0,0,98,44,114,179,279,115,133,107,164,68,213,190,104
0,5,0,0,0,22,94,19,33,113,13,13,0,38,0
0,12,0,0,0,5,168,40,21,53,51,38,35,0,0
43,23,98,0,0,9,319,161,0,229,134,0,23,0,21
144,77,28,0,46,0,55,73,60,0,80,0,33,0,0
73,15,0,0,0,21,20,24,111,53,0,5,0,0,0
2784,2638,1106,253,1299,908,3492,3003,1567,2124,2041,1006,983,267,1263
2047,1378,573,536,954,433,1365,738,809,1001,964,634,562,64,495
90,122,65,0,35,71,109,73,79,141,240,0,40,43,108
880,620,399,110,326,171,1036,758,287,425,502,292,307,78,252
261,228,104,25,252,86,244,212,77,370,99,79,82,72,182
226,89,414,37,44,241,143,165,32,136,49,336,57,214,0
147,25,0,9,0,32,107,95,0,80,0,14,0,0,0
134,27,8,24,130,0,95,11,10,29,15,82,40,0,28
1945,1846,894,127,1099,418,2622,2391,1155,1608,779,719,939,377,1024
790,330,444,201,295,311,783,870,271,675,654,306,598,123,402
2520,1087,1701,338,1053,658,1579,2402,825,2303,1418,573,1150,388,1642
228,88,69,31,38,70,563,132,89,87,157,164,80,91,198
4131,2887,4563,656,4150,1551,2940,3892,2375,6023,3347,2669,2022,1444,2282
2480,2722,3307,663,3449,732,1033,3252,3932,5158,3867,2360,1774,348,2459
715,391,742,739,442,566,783,617,503,667,497,744,281,351,520
7684,6047,8895,1724,9093,3312,3749,7853,5846,8773,3814,5655,3643,2593,5805
1220,634,569,149,1191,153,204,912,777,760,625,287,330,36,682
26,22,12,0,23,31,10,7,0,76,0,0,48,0,0
1909,1385,1271,261,1156,828,3771,2129,1011,1559,1436,1273,562,478,969
13,7,4,0,37,13,29,11,14,11,10,47,10,2,1
16,18,21,0,0,6,10,27,11,11,14,0,0,0,80
41,25,33,0,59,39,37,49,29,18,29,44,71,0,0
46,32,17,0,32,19,33,47,0,16,30,25,0,0,85
176,122,109,45,64,79,214,129,100,117,58,120,80,26,65
90,97,60,43,80,0,12,18,71,182,327,0,0,0,0
449,212,104,31,178,22,17,202,73,357,137,0,0,0,50
0,31,36,0,0,0,91,80,0,49,35,0,12,0,28
1113,722,94,83,399,191,1141,325,278,473,116,210,145,64,99
63,24,0,0,12,22,13,41,0,17,17,28,3,0,16
5511,5212,4563,605,4521,1600,2868,6798,4635,6618,2754,1242,1971,393,4580
11716,11697,16383,244,8961,1557,3698,15291,5952,9502,4271,1624,3734,46,6818
833,561,470,15,261,81,307,631,341,309,200,74,98,90,175
